Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,VR,DLC,English,Owned,Condition,Date Purchased, Purchase Price ,Format,Completed,Date Completed,Completion Time,Rating,Metacritic Rating,GameFAQs User Rating,Notes,Priority,Wishlisted,Estimated Time,Playing Status,Release Year,Weighted Score,Composite Score,My Score
Red Tape,PC,2/14/2023,NA,DreadXP,Pollaris Studios,,Adventure,,,,1,,5/19/2023, $ -   ,Digital,0,,,,,,Steam,3,,1.00,,2023,60%,,0.6
Wanted: Dead,PlayStation 5,2/14/2023,NA,110 Industries,Soleil Ltd.,,Action Adventure,,,,1,Complete,5/2/2023, $ 27.15 ,Physical,0,,,,57%,35%,,3,,8.00,,2023,53%,0.46,0.6
Bazooka Cat: First Episode,PC,2/14/2023,NA,VictoryCraftStudio,VictoryCraftStudio,,Action Platformer,,,,1,,6/29/2023, $ 0.39 ,Digital,0,,,,,,Steam,2,,,,2023,40%,,0.4
Weird and Unfortunate Things Are Happening,PC,2/6/2023,NA,Sapphire Dream Games,Sapphire Dream Games,,Turn-Based RPG,,,,1,,2/7/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,2023,40%,,0.4
PROTOTYPE原型,PC,2/4/2023,NA,Nikita Kryukov,Veronika Orfeeva,,Visual Novel,,,,1,,2/7/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,2023,40%,,0.4
Forest of Frequencies,PC,1/31/2023,NA,Dapper Pigeon,Dapper Pigeon,,Rhythm,,,,1,,2/7/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,2023,40%,,0.4
Backfirewall_,PC,1/30/2023,NA,All in! Games,Naraven Games,,Adventure,,,,1,,8/21/2023, $ 2.20 ,Digital,0,,,,83%,,Steam,3,,4.50,,2023,72%,83%,0.6
Dread Templar,PC,1/26/2023,NA,1C Entertainment,T19 Games,,First-Person Shooter,,,,1,,3/4/2022, $ -   ,Digital,0,,,,,64%,Steam,3,,6.50,,2023,62%,64%,0.6
Neptunia: Sisters vs. Sisters,PlayStation 5,1/24/2023,NA,Idea Factory International,Compile Heart,Hyperdimension Neptunia,Turn-Based RPG,,,,1,Complete,8/11/2022, $ 54.30 ,Physical,0,,,,68%,65%,,3,,19.00,,2023,63%,0.665,0.6
Forspoken,PlayStation 5,1/24/2023,NA,Square Enix,Luminous Productions,,Action Adventure,,,,1,Complete,1/26/2023, $ 66.02 ,Physical,0,,,,66%,44%,,3,,14.50,,2023,58%,0.55,0.6
Tristia Legacy & Restore Bundle Pack,Nintendo Switch,1/19/2023,JP,Kogado Studio,Kogado Studio,Tristia,Simulation,,,2,1,Complete,5/6/2023, $ 62.99 ,Physical,0,,,,,,,2,,,,2023,40%,,0.4
A Space for the Unbound,Nintendo Switch,1/19/2023,AS,Chorus Worldwide,Mojiken Studio,,Adventure,,,2,1,Complete,2/25/2023, $ 32.99 ,Physical,0,,,,85%,,,4,,10.00,,2023,83%,85%,0.8
Osiris: New Dawn,PC,1/18/2023,NA,Fenix Fire Entertainment,Fenix Fire Entertainment,,Survival,,,,1,,,,Digital,0,,,,,50%,Steam,2,,6.50,,2023,45%,50%,0.4
RE:CALL,PC,1/17/2023,NA,Whitethorn Games,maitan69,,Adventure,,,,1,,5/5/2023, $ -   ,Digital,0,,,,74%,,Steam,2,,6.00,,2023,57%,74%,0.4
Reel Steal,Playdate,1/15/2023,NA,Sweet Baby,Sweet Baby,,Action,,,,1,,3/19/2023, $ -   ,Digital,0,,,,,,Playdate,3,,,,2023,60%,,0.6
Recommendation Dog!!,Playdate,1/15/2023,NA,Sweet Baby,Sweet Baby,,Puzzle Action,,,,1,,3/19/2023, $ -   ,Digital,0,,,,,,Playdate,2,,0.25,,2023,40%,,0.4
One Piece Odyssey,PlayStation 5,1/13/2023,NA,Bandai Namco Entertainment,ILCA,One Piece,Turn-Based RPG,,,,1,Complete,5/11/2022, $ 65.16 ,Physical,0,,,,75%,64%,,3,,28.00,,2023,65%,0.694,0.6
Luck be a Landlord,PC,1/6/2023,NA,TrampolineTales,TrampolineTales,,Roguelike,,,,1,,5/19/2023, $ -   ,Digital,0,,,,,74%,Steam,4,,3.00,,2023,77%,74%,0.8
Final Fantasy XVI,PlayStation 5,6/22/2023,NA,Square Enix,Square Enix Creative Business Unit III,Final Fantasy,Action RPG,,,,1,Complete,12/9/2022, $ 76.03 ,Physical,1,7/10/2023,49.00,90%,88%,81%,,,,,,2023,87%,0.845,90%
Amnesia: The Bunker,PC,6/6/2023,NA,Frictional Games,Frictional Games,Amnesia,Survival Horror,,,,0,,,,,1,7/17/2023,2.85,80%,77%,75%,Xbox Game Pass,,,,,2023,78%,0.76,80%
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,5/12/2023,NA,Nintendo,Nintendo EPD,The Legend of Zelda,Action Adventure,,,,1,Complete,6/15/2021, $ 65.09 ,Physical,1,5/31/2023,50.00,100%,96%,84%,,,,,,2023,95%,0.9,100%
Re:Fresh,PC,4/24/2023,NA,Merge Conflict,Merge Conflict,,3D Platformer,,,,1,,7/1/2023, $ 2.49 ,Digital,1,7/4/2023,1.02,20%,,,Steam,,,,,2023,20%,,20%
Minecraft Legends,PC,4/18/2023,NA,Xbox Game Studios,Mojang Studios,Minecraft,Real-Time Strategy,,,,0,,,,,1,7/17/2023,9.44,40%,65%,65%,Xbox Game Pass,,,,,2023,53%,0.65,40%
Vampire Survivors: Tides of the Foscari,PC,4/13/2023,NA,poncle,poncle,Vampire Survivors,Roguelike,,1,,1,,4/13/2023, $ 1.52 ,Digital,1,4/30/2023,8.30,70%,,,,,,,,2023,70%,,70%
Atelier Ryza 3: Alchemist of the End & the Secret Key,Nintendo Switch,3/24/2023,NA,Koei Tecmo Games,Gust Co. Ltd.,Atelier,Turn-Based RPG,,,,1,Complete,9/20/2022, $ 65.16 ,Physical,1,8/7/2023,34.84,60%,84%,71%,,,,,,2023,69%,0.774,60%
Resident Evil 4,PC,3/24/2023,NA,Capcom,Capcom,Resident Evil,Survival Horror,,,,1,,1/9/2023, $ 49.19 ,Digital,1,5/20/2023,15.02,90%,92%,87%,Steam,,,,,2023,90%,0.894,90%
Bayonetta Origins: Cereza and the Lost Demon,Nintendo Switch,3/17/2023,NA,Nintendo,PlatinumGames,Bayonetta,Action Adventure,,,,1,Complete,1/14/2023, $ 65.16 ,Physical,1,6/3/2023,10.00,75%,80%,78%,,,,,,2023,77%,0.791,75%
Paranormasight: The Seven Mysteries of Honjo,PC,3/8/2023,NA,Square Enix,Xeen,,Visual Novel,,,,1,,4/29/2023, $ 15.99 ,Digital,1,5/12/2023,11.33,85%,82%,85%,Steam,,,,,2023,84%,0.835,85%
Wo Long: Fallen Dynasty,Xbox Series X|S,3/3/2023,NA,Koei Tecmo,Team Ninja,,Action RPG,,,,0,,,,,1,3/5/2023,23.17,85%,81%,77%,Xbox Game Pass,,,,,2023,82%,0.788,85%
Octopath Traveler II,Nintendo Switch,2/24/2023,NA,Square Enix,Square Enix,Octopath Traveler,Turn-Based RPG,,,,1,Complete,9/13/2022, $ 59.99 ,Physical,1,4/25/2023,63.33,90%,84%,83%,,,,,,2023,87%,0.833,90%
Kirby's Return to Dream Land Deluxe,Nintendo Switch,2/24/2023,NA,Nintendo,HAL Laboratory,Kirby,Side-Scrolling Platformer,,,,1,Complete,9/21/2022, $ 65.16 ,Physical,1,3/6/2023,5.00,70%,80%,82%,,,,,,2023,75%,0.809,70%
Atomic Heart,PC,2/21/2023,NA,Focus Entertainment,Mundfish,,First-Person Shooter,,,,0,,,,,1,2/24/2023,13.40,50%,77%,68%,Xbox Game Pass,,,,,2023,61%,0.725,50%
Returnal,PC,2/15/2023,NA,Sony Interactive Entertainment,Housemarque,,Roguelike,,,,1,,1/24/2023, $ 49.19 ,Digital,1,7/20/2023,10.67,85%,86%,60%,Steam,,,,,2023,79%,0.73,85%
Hogwarts Legacy,PlayStation 5,2/10/2023,NA,Warner Bros. Games,Avalanche Software,Harry Potter,Action RPG,,,,1,,2/11/2023, $ 69.99 ,Digital,1,4/10/2023,21.00,50%,85%,80%,,,,,,2023,66%,0.825,50%
Metroid Prime Remastered,Nintendo Switch,2/8/2023,NA,Nintendo,Retro Studios,Metroid,First-Person Shooter,,,,1,Complete,2/9/2023, $ 43.44 ,Physical,1,3/26/2023,10.92,80%,95%,82%,,,,,,2023,84%,0.885,80%
Super Mario Land 2: 6 Golden Coins,Nintendo Switch,2/8/2023,NA,Nintendo,Nintendo,Mario,Side-Scrolling Platformer,,,,0,,,,,1,3/15/2023,1.68,60%,,81%,Nintendo Switch Online,,,,,2023,70%,81%,60%
Kirby's Dream Land,Nintendo Switch,2/8/2023,NA,Nintendo,HAL Laboratory,Kirby,Side-Scrolling Platformer,,,,0,,,,,1,3/8/2023,0.57,60%,,74%,Nintendo Switch Online,,,,,2023,67%,74%,60%
Dead Space,PC,1/27/2023,NA,Electronic Arts,Motive Studio,Dead Space,Survival Horror,,,,1,,1/9/2023, $ 59.99 ,Digital,1,5/3/2023,11.43,80%,87%,78%,Steam,,,,,2023,81%,0.825,80%
GoldenEye 007,Xbox Series X|S,1/27/2023,NA,Rare,Code Mystics,James Bond,First-Person Shooter,,,,0,,,,,1,2/13/2023,7.65,60%,,64%,Xbox Game Pass,,,,,2023,62%,64%,60%
Pizza Tower,PC,1/26/2023,NA,Tour De Pizza,Tour De Pizza,,Side-Scrolling Platformer,,,,1,,6/29/2023, $ 14.99 ,Digital,1,8/1/2023,5.02,85%,89%,82%,Steam,,,,,2023,85%,0.854,85%
Hi-Fi Rush,Xbox Series X|S,1/25/2023,NA,Bethesda Softworks,Tango Gameworks,,Hack-and-Slash,,,,0,,,,,1,2/12/2023,9.55,80%,88%,76%,Xbox Game Pass,,,,,2023,81%,0.819,80%
Hyper Gunsport,PC,12/22/2022,NA,Necrosoft Games,Necrosoft Games,Gunsport,Sports,,,,1,,3/1/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,2022,40%,,0.4
Space Runaway,PC,12/22/2022,NA,110 Industries,Soleil,,Scrolling Shooter,,,,1,,12/27/2022, $ -   ,Digital,0,,,,,,Steam,2,,,,2022,40%,,0.4
Super Lesbian Animal RPG,PC,12/20/2022,NA,ponett,ponett,,Turn-Based RPG,,,,1,,6/7/2023, $ 12.00 ,Digital,0,,,,,93%,Steam,3,,17.50,,2022,77%,93%,0.6
Picross X: Picbits vs. Uzboross,Nintendo Switch,12/19/2022,NA,Jupiter,Jupiter,Picross,Puzzle,,,,1,,4/21/2023, $ 15.99 ,Digital,0,,,,,40%,,3,,,,2022,50%,40%,0.6
Akai Katana Shin,Nintendo Switch,12/15/2022,JP,Cave,Cave,,Scrolling Shooter,,,2,1,Complete,2/16/2023, $ 16.89 ,Physical,0,,,,,,,2,,0.68,,2022,40%,,0.4
Doctor Who: The Edge of Reality + The Lonely Assassins,Nintendo Switch,12/13/2022,NA,Maximum Games,Maze Theory,Doctor Who,Compilation,,,,1,Complete,7/9/2023, $ 16.28 ,Physical,0,,,,,,,2,,6.50,,2022,40%,,0.4
Dragon Quest Treasures,Nintendo Switch,12/9/2022,NA,Square Enix,Tose,Dragon Quest,Action RPG,,,,1,Complete,8/8/2022, $ 65.16 ,Physical,0,,,,76%,70%,,3,,21.00,,2022,67%,0.73,0.6
Adventure Academia: The Fractured Continent,Nintendo Switch,12/9/2022,NA,PQube,Acquire,Class of Heroes,Strategy RPG,,,,1,Complete,10/7/2022, $ 43.44 ,Physical,0,,,,58%,,,2,,,,2022,49%,58%,0.4
Chained Echoes,PC,12/8/2022,NA,Deck13,Matthias Linda,,Turn-Based RPG,,,,1,,6/24/2023, $ 19.99 ,Digital,0,,,,91%,80%,Steam,5,,32.50,,2022,93%,0.855,1
Witch on the Holy Night,Nintendo Switch,12/8/2022,NA,Aniplex,Type-Moon,Tsukihime,Visual Novel,,,,1,Complete,11/3/2022, $ 65.16 ,Physical,0,,,,81%,78%,Limited Edition,3,,20.00,,2022,70%,0.795,0.6
Impaler,PC,12/6/2022,NA,Retrovibe,Apptivus,,First-Person Shooter,,,,1,,3/29/2023, $ -   ,Digital,0,,,,,,Steam,3,,3.50,,2022,60%,,0.6
Gunlocked,PC,12/6/2022,NA,FromLefcourt,FromLefcourt,,Scrolling Shooter,,,,1,,8/21/2023, $ 2.20 ,Digital,0,,,,,,Steam,2,,3.50,,2022,40%,,0.4
Marvel's Midnight Suns,PlayStation 5,12/2/2022,NA,2K Games,Firaxis Games,Marvel,Turn-Based Tactics,,,,1,Complete,5/2/2023, $ 27.15 ,Physical,0,,,,81%,81%,Enhanced Edition,4,,37.50,,2022,80%,0.809,0.8
Need for Speed Unbound,PlayStation 5,12/2/2022,NA,Electronic Arts,Criterion Games,Need for Speed,Racing,,,,1,Complete,12/18/2022, $ 38.25 ,Physical,0,,,,77%,57%,,3,,22.00,,2022,64%,0.671,0.6
The Callisto Protocol,PlayStation 5,12/2/2022,NA,Krafton,Striking Distance Studios,,Survival Horror,,,,1,Complete,4/30/2023, $ 32.58 ,Physical,0,,,,69%,63%,,3,,10.00,,2022,63%,0.662,0.6
River City Girls 1 & 2,Nintendo Switch,12/1/2022,JP,Arc System Works,Arc System Works,River City Girls,Beat 'em Up,,,2,1,Complete,10/26/2022, $ 35.99 ,Physical,0,,,,,,,4,,16.50,,2022,80%,,0.8
Romancing SaGa: Minstrel Song Remastered,Nintendo Switch,12/1/2022,JP,Square Enix,Square Enix,SaGa,Turn-Based RPG,,,2,1,Complete,12/4/2022, $ 39.99 ,Physical,0,,,,68%,66%,,4,,25.50,,2022,74%,0.67,0.8
The Outbound Ghost,Nintendo Switch,12/1/2022,NA,Digerati Distribution,Conradical's Games,,Turn-Based RPG,,,,1,Complete,2/13/2023, $ 27.15 ,Physical,0,,,,,70%,,3,,15.50,,2022,65%,70%,0.6
Samurai Maiden,Nintendo Switch,12/1/2022,JP,D3 Publisher,Shade,,Hack-and-Slash,,,2,1,Complete,12/4/2022, $ 57.99 ,Physical,0,,,,68%,43%,,3,,9.50,,2022,58%,0.557,0.6
Front Mission 1st: Remake,Nintendo Switch,11/30/2022,NA,Forever Entertainment,MegaPixel Studios,Front Mission,Strategy RPG,,,,1,Complete,2/22/2023, $ 43.44 ,Physical,0,,,,70%,78%,Limited Edition,3,,37.00,,2022,67%,0.741,0.6
The Knight Witch,PlayStation 5,11/29/2022,NA,Team17,Super Awesome Hyper Dimensional Mega Team,,Metroidvania,,,,1,Complete,6/14/2023, $ 23.27 ,Physical,0,,,,79%,,,3,,8.00,,2022,70%,79%,0.6
Cats and the Other Lives,PC,11/21/2022,NA,Maple Whispering,Cultic Games,,Adventure,,,,1,,3/1/2023, $ 30.00 ,Digital,0,,,,,70%,Steam,2,,5.50,,2022,55%,70%,0.4
The Dark Pictures Anthology: The Devil in Me,PlayStation 5,11/18/2022,NA,Bandai Namco Entertainment,Supermassive Games,The Dark Pictures Anthology,Survival Horror,,,,1,Complete,12/21/2022, $ 32.58 ,Physical,0,,,,70%,75%,,3,,7.00,,2022,66%,0.725,0.6
Bound By Blades,PC,11/15/2022,NA,Assemble Entertainment,Zeth,,Action RPG,,,,1,,6/7/2023, $ -   ,Digital,0,,,,,,Steam,3,,0.87,,2022,60%,,0.6
Miracle Snack Shop,Nintendo Switch,11/15/2022,AS,CFK,TALESSHOP,,Visual Novel,,,2,1,Complete,9/6/2022, $ 29.99 ,Physical,0,,,,,70%,Play-Asia Exclusive,2,,8.00,,2022,55%,70%,0.4
McPixel 3,PC,11/14/2022,NA,Devolver Digital,Sos Sosowski,McPixel,Adventure,,,,1,,6/29/2023, $ 1.99 ,Digital,0,,,,75%,,Steam,3,,4.50,,2022,68%,75%,0.6
PRODUCER (2021),PC,11/14/2022,NA,Stuffed Wombat,Stuffed Wombat,,Adventure,,,,1,,8/7/2023, $ 4.99 ,Digital,0,,,,,,Steam,4,,1.50,,2022,80%,,0.8
Tactics Ogre: Reborn,Nintendo Switch,11/11/2022,NA,Square Enix,Square Enix,Ogre Battle,Strategy RPG,,,,1,Complete,8/6/2022, $ 54.30 ,Physical,0,,,,85%,85%,,4,,56.00,,2022,82%,0.848,0.8
Atari 50: The Anniversary Celebration,Nintendo Switch,11/11/2022,NA,Atari,Digital Eclipse,,Compilation,,,,1,Complete,11/13/2022, $ 39.99 ,Physical,0,,,,89%,75%,,3,,8.50,,2022,71%,0.82,0.6
Once Upon A Jester,PC,11/9/2022,NA,Crunching Koalas,Bonte Avond,,Adventure,,,,1,,6/30/2023, $ -   ,Digital,0,,,,85%,,Twitch,2,,3.00,,2022,63%,85%,0.4
Sonic Frontiers,PlayStation 5,11/8/2022,NA,Sega,Sonic Team,Sonic the Hedgehog,3D Platformer,,,,1,Complete,11/8/2022, $ 62.99 ,Physical,0,,,,72%,50%,,3,,15.50,,2022,60%,0.609,0.6
Harvestella,Nintendo Switch,11/4/2022,NA,Square Enix,Square Enix,,Simulation,,,,1,Complete,8/19/2022, $ 49.43 ,Physical,0,,,,73%,76%,,3,,46.50,,2022,67%,0.747,0.6
Keep Me Posted,PC,11/4/2022,NA,Blue Monarch Games,Blue Monarch Games,,Action Adventure,,,,1,,5/10/2023, $ 1.99 ,Digital,0,,,,,,Steam,3,,,,2022,60%,,0.6
From Space,PC,11/3/2022,NA,Curve Games,Triangle Studios,,Twin-Stick Shooter,,,,1,,5/16/2023, $ 14.99 ,Digital,0,,,,,,Steam,2,,6.00,,2022,40%,,0.4
Ghost Song,Nintendo Switch,11/3/2022,NA,Humble Games,Old Moon,,Metroidvania,,,,1,Complete,6/14/2023, $ 32.58 ,Physical,0,,,,,80%,,4,,9.00,,2022,80%,80%,0.8
Signalis,Nintendo Switch,10/27/2022,NA,Humble Games,rose-engine,,Survival Horror,,,,1,Complete,12/12/2022, $ 29.99 ,Physical,0,,,,,77%,,4,,9.00,,2022,78%,77%,0.8
Saturnalia,PC,10/27/2022,NA,Santa Ragione,Santa Ragione,,Survival Horror,,,,1,,10/27/2022, $ -   ,Digital,0,,,,79%,60%,Epic Games Store,3,,6.00,,2022,65%,0.695,0.6
Needy Girl Overdose,Nintendo Switch,10/27/2022,JP,WSS Playground,Xemono,,Visual Novel,,,2,1,Complete,7/15/2022, $ 31.99 ,Physical,0,,,,,,,3,,3.00,,2022,60%,,0.6
Persona 5 Royal,Nintendo Switch,10/21/2022,NA,Sega,P-Studio,Megami Tensei,Turn-Based RPG,,,,1,Complete,9/20/2022, $ 65.16 ,Physical,0,,,,94%,83%,Steelbook Edition,2,,103.00,,2022,64%,0.885,0.4
Gotham Knights,PC,10/21/2022,NA,Warner Bros. Games,Warner Bros. Games Montreal,Batman,Third-Person Action,,,,1,,3/1/2023, $ -   ,Digital,0,,,,66%,58%,Steam,3,,16.50,,2022,61%,0.621,0.6
Void Scrappers,PC,10/21/2022,NA,8BitSkull,8BitSkull,,Roguelike,,,,1,,5/19/2023, $ -   ,Digital,0,,,,,,Steam,3,,3.00,,2022,60%,,0.6
New Tales from the Borderlands,PlayStation 5,10/21/2022,NA,2K Games,Gearbox Studio Québec,Borderlands,Adventure,,,,1,Complete,11/28/2022, $ 29.00 ,Physical,0,,,,56%,63%,Deluxe Edition,3,,9.50,,2022,60%,0.593,0.6
Ultra Kaiju Monster Rancher,Nintendo Switch,10/20/2022,AS,Bandai Namco Games,Koei Tecmo Games,Monster Rancher,Turn-Based RPG,,,2,1,Complete,9/6/2022, $ 49.99 ,Physical,0,,,,75%,70%,,3,,30.00,,2022,66%,0.725,0.6
Batora: Lost Haven,PC,10/20/2022,NA,Team17,Stormind Games,,Action RPG,,,,1,,3/10/2023, $ 15.00 ,Digital,0,,,,68%,,Steam,3,,6.50,,2022,64%,68%,0.6
Spinfrog: All Aboard the Frogcopter,Nintendo Switch,10/20/2022,NA,Studio Somewhere,Studio Somewhere,,Puzzle Action,,,,1,,8/4/2023, $ 4.99 ,Digital,0,,,,,,,3,,,,2022,60%,,0.6
Harmony's Odyssey,PC,10/19/2022,NA,Neverland Entertainment,MythicOwl,,Puzzle,,,,1,,3/1/2023, $ -   ,Digital,0,,,,,,Steam,2,,3.00,,2022,40%,,0.4
Alina of the Arena,PC,10/13/2022,NA,IndieArk,PINIX,,Card Game,,,,1,,5/19/2023, $ -   ,Digital,0,,,,,63%,Steam,2,,8.50,,2022,52%,63%,0.4
Asterigos: Curse of the Stars,Xbox Series X|S,10/11/2022,NA,tinyBuild,Acme Gamestudio,,Action RPG,,,,1,Complete,6/14/2023, $ 34.91 ,Physical,0,,,,75%,45%,,3,,17.50,,2022,60%,0.6,0.6
Kamiwaza: Way of the Thief,Nintendo Switch,10/11/2022,NA,NIS America,Acquire,,Stealth Action,,,,1,Complete,4/5/2022, $ 43.44 ,Physical,0,,,,70%,80%,,2,,9.00,,2022,58%,0.75,0.4
Nomad Survival,PC,10/8/2022,NA,The Fox Knocks,The Fox Knocks,,Roguelike,,,,1,,3/31/2023, $ -   ,Digital,0,,,,,65%,Steam,2,,21.00,,2022,53%,65%,0.4
Chaos;Head Noah / Chaos;Child Double Pack,Nintendo Switch,10/7/2022,NA,Spike Chunsoft,Mages,Science Adventure,Visual Novel,,,,1,Complete,6/21/2022, $ 49.99 ,Physical,0,,,,78%,80%,Steelbook Launch Edition,3,,56.00,,2022,70%,0.79,0.6
NieR: Automata - The End of YoRHa Edition,Nintendo Switch,10/6/2022,NA,Square Enix,PlatinumGames,Drakengard,Action RPG,,,,1,Complete,6/29/2022, $ 43.44 ,Physical,0,,,,88%,81%,,3,,21.00,,2022,72%,0.843,0.6
Undetected,PC,9/30/2022,NA,Digerati,Antonio Freyre,,Stealth Action,,,,1,,5/19/2023, $ -   ,Digital,0,,,,,50%,Steam,3,,2.50,,2022,55%,50%,0.6
Airoheart,Nintendo Switch,9/30/2022,NA,Soedesco,Pixel Heart Studio,,Action Adventure,,,,1,Complete,7/8/2023, $ 23.89 ,Physical,0,,,,61%,75%,,3,,19.50,,2022,64%,0.68,0.6
Witchy Life Story,PC,9/30/2022,NA,Sundew Studios,Sundew Studios,,Simulation,,,,1,,7/21/2023, $ -   ,Digital,0,,,,,,Steam,3,,3.00,,2022,60%,,0.6
Valkyrie Elysium,PlayStation 5,9/29/2022,NA,Square Enix,Soleil,Valkyrie Profile,Action RPG,,,,1,Complete,7/7/2022, $ 65.16 ,Physical,0,,,,66%,58%,,4,,14.50,,2022,71%,0.622,0.8
Picross S8,Nintendo Switch,9/29/2022,NA,Jupiter,Jupiter,Picross,Puzzle,,,,1,,4/21/2023, $ 7.99 ,Digital,0,,,,,80%,,3,,20.00,,2022,70%,80%,0.6
ValiDate: Struggling Singles in Your Area,PC,9/28/2022,NA,Veritable Joy Studios,Veritable Joy Studios,,Visual Novel,,,,1,,2/8/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,2022,40%,,0.4
The Legend of Heroes: Trails from Zero,Nintendo Switch,9/27/2022,NA,NIS America,Nihon Falcom,The Legend of Heroes,Turn-Based RPG,,,,1,Complete,10/4/2021, $ 54.30 ,Physical,0,,,,86%,82%,Deluxe Edition,4,,41.00,,2022,82%,0.84,0.8
Hokko Life,PC,9/27/2022,NA,Team17,Wonderscope,,Simulation,,,,1,,1/3/2023, $ -   ,Digital,0,,,,54%,63%,Steam,3,,6.00,,2022,59%,0.587,0.6
Outcore: Desktop Adventure,PC,9/26/2022,NA,Doctor Shinobi,Doctor Shinobi,,Adventure,,,,1,,9/26/2022, $ -   ,Digital,0,,,,,80%,Steam,2,,3.00,,2022,60%,80%,0.4
The Spirit and the Mouse,PC,9/26/2022,NA,Armor Games Studio,Alblune,,3D Platformer,,,,1,,8/23/2023, $ 15.00 ,Digital,0,,,,,,Steam,3,,4.50,,2022,60%,,0.6
Taiko no Tatsujin: Rhythm Festival,Nintendo Switch,9/23/2022,NA,Bandai Namco Games,Bandai Namco Games,Taiko no Tatsujin,Rhythm,,,,1,Complete,2/8/2023, $ 24.43 ,Physical,0,,,,80%,88%,,2,,10.50,,2022,62%,0.838,0.4
Potion Permit,Nintendo Switch,9/22/2022,NA,PQube,MassHive Media,,Action Adventure,,,,1,Complete,7/11/2023, $ 21.71 ,Physical,0,,,,72%,76%,,3,,22.00,,2022,67%,0.74,0.6
There is No Light,PC,9/19/2022,NA,HypeTrain Digital,Zelart,,Action RPG,,,,1,,5/16/2023, $ -   ,Digital,0,,,,,80%,Steam,3,,13.00,,2022,70%,80%,0.6
Return to Monkey Island,Nintendo Switch,9/19/2022,NA,Devolver Digital,Terrible Toybox,Monkey Island,Adventure,,,,1,Complete,6/10/2023, $ 38.01 ,Physical,0,,,,85%,81%,,4,,10.00,,2022,82%,0.832,0.8
Foretales,Nintendo Switch,9/15/2022,NA,Plug In Digital,Alkemi Games,,Card Game,,,,1,Complete,1/1/2023, $ 16.28 ,Physical,0,,,,76%,,,3,,12.50,,2022,68%,76%,0.6
Various Daylife,Nintendo Switch,9/13/2022,AS,Square Enix,DokiDoki Groove Works,,Turn-Based RPG,,,2,1,Complete,11/13/2022, $ 42.99 ,Physical,0,,,,63%,70%,,3,,29.00,,2022,63%,0.665,0.6
Little Orpheus,PC,9/13/2022,NA,Secret Mode,The Chinese Room,,Side-Scrolling Platformer,,,,1,,3/1/2023, $ -   ,Digital,0,,,,67%,50%,Steam,3,,3.00,,2022,59%,0.585,0.6
Roadwarden,PC,9/12/2022,NA,Assemble Entertainment,Moral Anxiety Studio,Roadwarden,Computer RPG,,,,1,,6/20/2023, $ -   ,Digital,0,,,,85%,,Steam,3,,11.00,,2022,73%,85%,0.6
Splatoon 3,Nintendo Switch,9/9/2022,NA,Nintendo,Nintendo EPD,Splatoon,Third-Person Shooter,,,,1,Complete,2/23/2022, $ 65.16 ,Physical,0,,,,84%,79%,,4,,8.00,,2022,81%,0.817,0.8
Broken Pieces,PC,9/9/2022,NA,Freedom Games,Elsewhere Experience,,Third-Person Shooter,,,,1,,6/7/2023, $ -   ,Digital,0,,,,66%,,Steam,3,,9.50,,2022,63%,66%,0.6
Jack Move,PC,9/8/2022,NA,HypeTrain Digital,So Romantic,,Turn-Based RPG,,,,1,,3/2/2023, $ 3.33 ,Digital,0,,,,75%,68%,Steam,4,,6.50,,2022,76%,0.717,0.8
Steelrising,PlayStation 5,9/8/2022,NA,Nacon,Spiders,,Action RPG,,,,1,Complete,6/23/2022, $ 54.30 ,Physical,0,,,,73%,75%,,3,,13.50,,2022,67%,0.738,0.6
Kaichu: The Kaiju Dating Sim,PC,9/7/2022,NA,Top Hat Studios,Squiddershins,,Visual Novel,,,,1,,2/8/2023, $ 12.00 ,Digital,0,,,,,,Steam,2,,0.58,,2022,40%,,0.4
RavenWeald,PC,9/7/2022,NA,Turbowizard Studios,Turbowizard Studios,,Strategy RPG,,,,1,,9/23/2022, $ -   ,Digital,0,,,,,,Steam,2,,,,2022,40%,,0.4
Temtem,Nintendo Switch,9/6/2022,NA,Humble Games,Crema,,Turn-Based RPG,,,,1,Complete,5/27/2022, $ 44.99 ,Physical,0,,,,76%,55%,,3,,60.50,,2022,63%,0.655,0.6
Stillwater,PC,9/6/2022,NA,Studio Clump,Studio Clump,,Visual Novel,,,,1,,9/23/2022, $ -   ,Digital,0,,,,,,Steam,2,,0.48,,2022,40%,,0.4
Monstrum II,PC,9/6/2022,NA,Junkfish Limited,Team Junkfish,Monstrum,Survival Horror,,,,1,,8/21/2023, $ 2.20 ,Digital,0,,,,,,Steam,2,,,,2022,40%,,0.4
Onsen Master,PC,9/4/2022,NA,Whitethorn Games,Waking Oni Games,,Simulation,,,,1,,2/2/2023, $ -   ,Digital,0,,,,,50%,Twitch,2,,,,2022,45%,50%,0.4
